,0MC_1,0MC_2,0MC_3,2MC_1,2MC_2,2MC_3,4MC_1,4MC_2,4MC_3,6MC_1,6MC_2,6MC_3,10MC_1,10MC_2,10MC_3,14MC_1,14MC_2,14MC_3,0MI_1,0MI_2,0MI_3,2MI_1,2MI_2,2MI_3,4MI_1,4MI_2,4MI_3,6MI_1,6MI_2,6MI_3,10MI_1,10MI_2,10MI_3,14MI_1,14MI_2,14MI_3,0PC_1,0PC_2,0PC_3,2PC_1,2PC_2,2PC_3,4PC_1,4PC_2,4PC_3,6PC_1,6PC_2,6PC_3,10PC_1,10PC_2,10PC_3,14PC_1,14PC_2,14PC_3,0PI_1,0PI_2,0PI_3,2PI_1,2PI_2,2PI_3,4PI_3,4PI_2,4PI_3,6PI_1,6PI_2,6PI_3,10PI_1,10PI_2,10PI_3,14PI_1,14PI_2,14PI_3
Cinnamate_[2M+H]+_297.1095_13.89943,22463.26,1230826825.00,37462.40,22188.84,2214572668.00,28650.21,1083894508.00,36223.90,38328.56,24082.39,53994.34,22803.07,4011396434.00,40195.69,22630.73,5237760528.00,46439.86,37216.07,21636.36,92276.16,4548271503.00,7752049948.00,41291.37,1558712067.00,63929.82,186968381.00,87999.71,1217988154.00,2760326533.00,426233.70,1528717651.00,175197981.00,523160.30,1329349629.00,8886913783.00,559136.80,24413.51,26631.52,106059.60,48668.54,42824.94,21963.70,26392.73,23692.10,27295.36,5871208273.00,57840.00,21610.85,23434.70,26490.48,27007.53,9453824164.00,56309.44,1755306553.00,2568094403.00,45237.70,2221653551.00,84820.32,9709165924.00,2021989033.00,1324317335.00,24203.17,7359937507.00,34201.08,283608.10,1556541819.00,8465574303.00,1609129034.00,24774.81,24303.99,2453239257.00,37105.48
"2,6-Xylohydroquinone_[M+2Na-H]+_183.0404_3.054786",3828678.00,1392620559.00,1859988533.00,2464656.00,20976.75,2475273.00,4795279.00,1810375941.00,1847790092.00,5447012.00,6158805014.00,7013794.00,7529018941.00,7110659606.00,7479721418.00,23155.37,22628.23,145236.00,718203093.00,5505144637.00,1422617605.00,1863970146.00,9385580125.00,1738312615.00,109049497.00,1115427476.00,2113700035.00,195744898.00,9911304546.00,1734536052.00,136148813.00,1534040519.00,36607.40,1064651305.00,1072571282.00,1679579717.00,99175.84,2374957.00,5086154155.00,49681.09,10100000.00,2904962.00,3253906625.00,22300000.00,2002482.00,1150469332.00,14100000.00,241080833.00,2524896.00,3185806.00,1292579.00,1782482.00,27393.18,8815027.00,5281295287.00,6854788652.00,2157442906.00,4671435885.00,1755829055.00,1208945344.00,804624991.00,2317991.00,27799.36,1391454639.00,2196243967.00,1789407677.00,7615394133.00,1551547923.00,3332327728.00,1750073295.00,126593629.00,203521065.00
(+)-Dihydrokaempferol_[2M+H]+_577.1351_61.19988,1743177081.00,1313354611.00,1797311721.00,1510873833.00,1150884104.00,1482854743.00,339713516.00,1674833347.00,1609844612.00,4232994148.00,1603355761.00,1163649652.00,21698.77,1011692534.00,1334837398.00,165636858.00,1280231319.00,447279332.00,84982.76,42935.59,178613869.00,96234.37,8012158528.00,1122873888.00,140554.20,1221273549.00,44324.38,144435.90,184050.70,82180.32,25393.22,1043040237.00,145602.40,24233.81,159066.60,214121.60,4569223724.00,7555397339.00,1087345683.00,1093442105.00,1976851552.00,2005464839.00,1094324653.00,2008521617.00,2049135861.00,9995369282.00,1289654766.00,2013466365.00,9390477557.00,2085535261.00,6328855914.00,2111341919.00,2168834051.00,1177878928.00,130915.30,5899289755.00,90165.66,90397.02,1175069439.00,1829749156.00,1609255768.00,5404138198.00,66267.74,84360.45,51683.73,112369.00,181136.60,278231.30,249164.20,76586.73,350134.80,347499.90
oleic acid(18:1n9)_[2M+Na]+_587.5013_76.73204,2089597657.00,4647674973.00,1352879966.00,1502370937.00,1978340918.00,7401408838.00,1749362436.00,2688861224.00,2228631333.00,1492502216.00,6339963235.00,1932672768.00,4199572277.00,1682907734.00,2017961799.00,1549994833.00,1567906813.00,9557306555.00,1855921385.00,266206.50,207764.10,1143463017.00,216094.70,111570.40,5133746564.00,2110088804.00,109414.10,2707051438.00,115124.00,4012901004.00,65627.73,87091.17,31364.42,41131.57,161138.00,112266.90,1716436592.00,528275491.00,378633034.00,1624067857.00,9496507118.00,4228602739.00,2873890312.00,1112418659.00,1108396743.00,7633681524.00,1806292927.00,1231517343.00,1191407266.00,2063386884.00,1428697047.00,2940611926.00,23754.95,1277511171.00,6467400846.00,2049311443.00,25076.05,84643.34,7411428447.00,158489168.00,191089.80,24749.42,2105906729.00,72673.84,40830.96,60691.27,1428498501.00,171408.70,2106347492.00,159096.40,48426.47,89793.01
linoleic acid (18:2)_[2M+Na]+_583.4699_90.16138,2906301967.00,24908.25,8932318614.00,1347194482.00,131555012.00,2010121041.00,2250795832.00,1174647319.00,7931751376.00,61850.89,2005003865.00,2185728111.00,720225474.00,2457860138.00,1570684825.00,24272.80,1661076357.00,3773991209.00,24649.83,1300930256.00,1122421147.00,26086.38,37071.81,121863.80,79391.66,68492.93,1598438092.00,129216.10,86399.85,2446662886.00,23692.58,121702.90,24688.01,823996872.00,67524.38,21804.86,156546098.00,7110040658.00,5782040915.00,1569032874.00,1358575049.00,1478182276.00,4174942069.00,22608.92,3714080364.00,26545.78,1465314851.00,9560956278.00,2071014563.00,2133289187.00,97859.59,24850.65,4037488495.00,9442026687.00,386495737.00,22977.04,23081.63,1164425607.00,22416.93,9666818292.00,27479.20,2041965842.00,25118.24,37036.90,6783766888.00,1477926359.00,22058.95,130183.60,144266.80,26287.36,184564.90,170836.60
leucine_[M+Na]+_154.0835_6.340537,23147.65,393870.20,175109.40,8652965063.00,3462167517.00,563125.90,181426.20,7289650951.00,38659.55,134478.10,807683.50,2031522539.00,9035207539.00,323343.50,304278.60,217865.80,217292.70,281197.40,1839411493.00,2097799782.00,21199.11,8206910719.00,1093978032.00,951934694.00,1914001065.00,7192095176.00,21929.30,1915854486.00,2011135847.00,2025048294.00,4914210666.00,5823917135.00,20949.84,1466753456.00,18199.99,1541303078.00,21254454.00,2202438491.00,133222.80,76829.50,1583144804.00,2105751032.00,276992.00,22174.48,95448.02,209769.20,22845.77,208965.00,2011453759.00,3642114946.00,163013.70,2195322981.00,291612.60,1613393252.00,7242053726.00,243304.50,7005832799.00,5045987926.00,243600.10,3265148717.00,1171304732.00,1847358306.00,5461261438.00,1680692212.00,25992.60,24810.27,1703284353.00,46641.61,27096.65,7321228292.00,6137471783.00,1294458382.00
Scopoletin_[M]+_192.0402_27.82373,38441.85,121924.50,1178742941.00,2049284007.00,447139303.00,21445.17,22203.07,1222533627.00,37463.74,116118.20,249806.60,145020.50,63232.59,193898.50,92102.34,103676.80,170659.10,257177.90,1276749364.00,1069112119.00,1456017086.00,1654386472.00,5726464367.00,13865.50,1507520381.00,22633.58,1519571269.00,2013006803.00,7911721376.00,1960599633.00,9089420816.00,23334.63,4574971423.00,2098971032.00,1264026774.00,211646611.00,3539518353.00,420445.10,442770516.00,1026644781.00,415150.40,414879.40,108557262.00,1725583941.00,68770.70,187735406.00,1964799791.00,158918.80,1218918169.00,384489.00,169008.40,235687.50,284366.00,97615.68,1792268348.00,737017.80,1757065545.00,1268952666.00,583292.40,5220257781.00,5835668332.00,238885.00,2141276532.00,2162856214.00,1745314491.00,1163218269.00,9008481008.00,27223.62,22378.20,1828883387.00,159213126.00,1735610483.00
Quercetin-3-sophorotrioside_[M]+_788.2063_40.81058,118793.80,50280.42,111289.20,2575180692.00,89799.15,2643404728.00,6578943179.00,8923883845.00,88466.12,128373.30,152964.10,35675.79,69626.18,109074.40,42760.38,55702.57,107024.60,1681714441.00,26497.78,1207604924.00,1780735168.00,1173964962.00,2078766293.00,1367478657.00,1987535739.00,1804252534.00,2146355977.00,4874146091.00,2688662146.00,2236766919.00,1409249581.00,12735844.00,1517079938.00,1388034459.00,1095391676.00,195430284.00,32775.68,73140.88,111175.90,1302727998.00,36055.20,2182882228.00,24481.59,1350442509.00,73084.98,2198062682.00,2018816682.00,33963.79,2016022436.00,40409.75,96710.44,1275656101.00,24311.67,87375.72,6703498005.00,1375973721.00,1347708532.00,2233122384.00,9655746859.00,5519273064.00,1103132309.00,121145.50,1142833447.00,1364643696.00,120130449.00,7421709821.00,1508541856.00,173009313.00,7354293327.00,3884259214.00,3544876863.00,1479692571.00
unknown_833.1761_34.20781,64745.92,142912.50,129954.00,1034605595.00,147429.70,137756.70,5310582782.00,9286597924.00,137154.30,100204.00,117546.40,103734.40,121160.20,169256.90,63999.00,1843653325.00,151985.30,28536.73,1279314989.00,4612730509.00,22208.11,24079.97,1044242814.00,1914559404.00,5216499746.00,1345467939.00,1734601958.00,1722199952.00,1273232829.00,1933537376.00,1242351433.00,5565574389.00,117422283.00,632778621.00,6036309488.00,12939.80,6408455721.00,193118.90,13550753.00,7586222152.00,133890.70,125357.70,34322.18,5871779767.00,122788.80,1401545802.00,3405800662.00,3409111175.00,1159483198.00,140314.60,1324607604.00,39044.26,189207.00,23665.26,1735253912.00,2084541327.00,1042344611.00,2950132192.00,142661.90,3809618313.00,1914702608.00,194370.80,1263095563.00,8584594953.00,1720590451.00,2089960152.00,1232883548.00,1671697228.00,6836224484.00,1512631551.00,1107883418.00,1050731734.00
unknown_143.0679_103.1301,22605.87,6739576287.00,9324766904.00,9493668267.00,9104519772.00,2211319231.00,118768387.00,4043521201.00,217293033.00,1312000886.00,1849247922.00,39838.07,1227269532.00,245519029.00,8444542555.00,185237704.00,23213.31,8240859218.00,6398889458.00,83094.58,114802.90,1799899047.00,5682742375.00,112137.90,1927588744.00,44797.17,119796.60,96144.66,1957650341.00,78505.57,42872.75,7143514189.00,81200.14,38501.76,2214277328.00,102584.40,1537266556.00,122656389.00,184281533.00,3817284648.00,2068929551.00,241476094.00,1875305364.00,27947.23,7293320932.00,4055544312.00,21976.39,5538175907.00,1809030621.00,2171132205.00,7277470927.00,21828.46,2081964848.00,163627297.00,64284.29,36230.10,82212.27,71937.51,22287.04,62863.56,45202.93,9945518324.00,78073.96,40067.14,35687.32,94870.48,38306.16,23357.71,60479.22,1958920539.00,47634.30,109753.60
unknown_313.0971_17.24666,111082.90,129508.70,209522.30,392768.70,75964.09,1208064691.00,38167.43,23094.76,25178.66,112836.80,8725794053.00,21829.18,26253.79,295677.10,164426618.00,22258.96,353928.40,2107063968.00,1564123272.00,34903.51,5221110285.00,1827619014.00,34955.32,1500728087.00,1592315814.00,1766563383.00,1359625609.00,1060928858.00,7798427446.00,8250353606.00,21341.75,2037674989.00,1792407645.00,4590378574.00,4109249616.00,74473.29,3157847611.00,297282.60,100575.10,8930878582.00,1436479974.00,313449.50,27421.49,36068.75,38203.12,2752174836.00,24558.17,391347.20,26664.06,1335641819.00,718012.90,7751346649.00,256892.80,94775.57,1236676038.00,678627.20,6669886898.00,2135832051.00,1606111717.00,5258764381.00,25913.08,21779.77,31266.97,57205.03,23387.03,5514258692.00,26346.38,7122978093.00,4031967476.00,1693931695.00,1523294228.00,4916709319.00
Formononetin_[M]+_268.0706_50.79075,156061.60,981670.90,720548.30,1031176382.00,1675027643.00,906852.60,2047037982.00,5713591328.00,998835.00,1430334.00,1921946.00,258529.00,1090394907.00,525457.10,1118958.00,6563318364.00,739136.10,2550687.00,1781412955.00,1524624858.00,1344215499.00,4238914724.00,964735278.00,1171396354.00,1952684285.00,1787961535.00,2120900266.00,23144.63,21130.49,39125.93,2854238325.00,1980441718.00,1518114794.00,21721.59,1927725136.00,94205.19,1145656129.00,1676248144.00,1813532924.00,2057754053.00,24596.15,4002388988.00,122847.90,22535.59,193058.90,119090.00,4308461402.00,34614.75,749258907.00,564877.90,1406574.00,1247263113.00,398134.90,1189241.00,1240973515.00,1404303639.00,2979382819.00,2771426089.00,2049778064.00,6162700584.00,1620664194.00,2400055.00,2223172535.00,6839164458.00,24050.44,63140.57,1151215682.00,1141951961.00,3628954432.00,5137257671.00,1748968338.00,1348132444.00
unknown_307.1153_35.80298,64074.36,1053564314.00,88535.59,123780.70,1847021706.00,1581537565.00,36549.14,4594327167.00,42780.93,93443.59,158789.90,1427508.00,1236589463.00,67568.34,852458.30,6921304596.00,133591.30,921503.80,25570.38,154381.20,38549.63,62292.12,157172192.00,71201.57,41366.40,138512.40,1334320892.00,1868149332.00,94307.94,56307.36,166143.00,1777680092.00,59476.03,57877.39,25172.89,2534255912.00,1613774963.00,73649.79,1794789522.00,27087.61,2337898965.00,41243.19,24206.98,1456592575.00,99305.47,26164.90,23416.60,337920.30,47442.23,128132.90,2212512397.00,22173.70,54727.27,1330843524.00,38602.15,4296110457.00,6600031784.00,4166578873.00,112776.50,27479.11,4454557396.00,162246.70,1724869171.00,39273.38,1429464531.00,24223.97,25981.39,25381.36,67080.49,82157.43,1806262445.00,4122299396.00
unknown_295.0763_6.799127,553313.40,191174.70,168410.10,172302522.00,1767329779.00,252207.30,23213.44,2066475714.00,1575028.00,108762.70,1113923899.00,65727.55,826257.20,21800.90,22613.56,20722.53,200236.50,3841894087.00,9879367257.00,1339270297.00,2516043193.00,2767308362.00,9001048529.00,6685190988.00,2098527168.00,1108878301.00,6011715889.00,21212.00,9378697173.00,25430.63,3785357527.00,26962.34,22440.49,9824443805.00,7300660193.00,7932535218.00,2078041132.00,34242.12,1584213197.00,27107.67,156589.60,86955.41,3155770229.00,148616.20,232451.80,21845.20,717737.50,1000867334.00,723562.40,1111689.00,2757070556.00,105915.80,25638.05,810248.20,163462676.00,1738249491.00,3727832754.00,1446375906.00,1991198204.00,2128963844.00,369318.20,245509.50,7020473852.00,41602.41,1998178943.00,1143686741.00,6879394439.00,1729528286.00,56422.92,8030397923.00,21869.80,4418748583.00
unknown_297.082_112.7707,1272589928.00,5156552572.00,1469547311.00,27125.24,7126123161.00,38048.30,9067842221.00,38979.17,27886.50,24305.22,1554439716.00,2416582966.00,25540.03,31360.97,2134548331.00,1170138479.00,23751.99,38541.91,9982873992.00,44223.71,26476.92,35816.90,23793.62,24529.39,3125171843.00,22924.10,397743.10,1050141694.00,3184468327.00,407671.80,61037.99,2071250401.00,506241.70,6096503618.00,28076.52,384894.00,23007.74,24003.47,1922626776.00,5057158598.00,1566565242.00,1670207996.00,1638138543.00,2989028102.00,6631960459.00,1297523976.00,22257.96,14306.84,5116169591.00,5374435579.00,1646326806.00,6706876298.00,22468.81,25492.28,39822.57,23549.77,7094347674.00,34780.73,3013685697.00,7755830705.00,3518848341.00,219710081.00,74802.38,86768.80,1357784162.00,1656262125.00,56308.84,36734.56,57505.19,50515.32,91666.53,46294.73
Naringenin_[2M+H]+_545.149_14.90223,164430.70,1888913805.00,194867.50,142082.60,51688.88,150985.50,156151.20,1462477656.00,7750859087.00,149425.40,1866676195.00,43912.84,6148165941.00,25490.46,80582.34,7277689903.00,1695561916.00,185478958.00,1041794376.00,2551115281.00,1153886908.00,1836758774.00,406818261.00,26769.68,881245615.00,6335807628.00,2207431181.00,925698935.00,1713558646.00,1218580444.00,2235929193.00,4001062819.00,2116440538.00,1960226758.00,7426667721.00,5412685775.00,1637885428.00,264431.60,1747466497.00,145420.40,208175.70,230154.40,1546076328.00,223870.40,133062.20,735010484.00,133952.90,1191959623.00,87310.99,238605.60,188255.00,163136.40,1010151768.00,1928442481.00,1730777435.00,193408733.00,2457367374.00,2867438334.00,2682725337.00,6651778562.00,8288393176.00,115115.20,1294744303.00,1918572315.00,3932415511.00,5686337212.00,11300.70,1281520652.00,9933069912.00,8124819694.00,25546.51,1928475552.00
unknown_330.2229_25.45115,1050135293.00,33157.67,1404921466.00,7214439237.00,1194824822.00,2236093637.00,2345652743.00,2086471994.00,33944.09,1510382426.00,136388244.00,41873.51,5402951832.00,6037920988.00,34493.35,1861023852.00,31714.49,1401828753.00,221579.80,101176.30,118717.40,203351.60,447634.20,306866.70,112298.50,1461933864.00,526955.80,133824.50,1656729042.00,2231897849.00,20435.96,1157859101.00,2048367155.00,21322.71,167511999.00,1253595051.00,1677583237.00,1883416798.00,4559406329.00,8076553718.00,8855057144.00,34513.20,7716795825.00,22661.70,1249042693.00,5999948667.00,1769595241.00,7934365118.00,1839902819.00,1572665144.00,321679.10,3558826498.00,5383804346.00,151973.40,2015403069.00,746299123.00,1861572982.00,1819327499.00,1998859453.00,25059.81,23492.30,1293718115.00,9860325335.00,112966.20,25849.20,22696.24,2159922961.00,2133983539.00,171544168.00,5983320193.00,5929861154.00,26644.75
unknown_368.1821_31.63975,2662767885.00,181490.90,126009.70,1755643077.00,25572.12,6439854776.00,2512051609.00,25583.61,198340341.00,236725.00,268938.50,120679.60,128288.70,23733.28,53320.13,1812816625.00,198765.50,1205300405.00,62427512.00,26332.28,36235.92,142712433.00,1915631541.00,1574941446.00,219374556.00,1095472118.00,1727604839.00,26399.74,1021352167.00,1143243284.00,24371.71,1402755731.00,2032386484.00,1364917286.00,1441596616.00,137081208.00,911268043.00,23494.76,26709.54,22844.31,123196.30,22244.12,1093686625.00,1428574317.00,1509611956.00,123101198.00,135811341.00,1729636425.00,7790811954.00,135959.80,11665.66,39637.22,1981074784.00,1004071646.00,3091118454.00,3029523971.00,2173677429.00,1474843202.00,146110322.00,9047948502.00,23836.49,25126.25,181874345.00,21636.54,9314305413.00,23085.16,2083925081.00,3838468781.00,1524126897.00,7546241962.00,2004333904.00,2811064023.00
unknown_352.0588_21.3136,7542212309.00,4357327063.00,6532358352.00,1054534836.00,201240447.00,9273826742.00,1754946394.00,3658149398.00,1017257448.00,8076897201.00,1285819793.00,1156641174.00,22632.03,1173734933.00,1214398324.00,1246133777.00,8705709328.00,1455335848.00,1510970599.00,1781384782.00,1874443167.00,23805.63,24332.32,46752.57,26794.82,24071.07,1063477376.00,1124759527.00,148925.90,60481.62,9355260436.00,12642.39,1140882743.00,22960.33,378746.40,317616.50,5357982456.00,3733708261.00,2222338312.00,7261201964.00,1899515405.00,1106725121.00,2173224739.00,8612066253.00,1543193759.00,4038579961.00,8721334796.00,1972524384.00,3701959455.00,6712615077.00,3503884525.00,1488331986.00,1502509874.00,1459966368.00,177653327.00,22594.71,4883232571.00,27583.39,9011136176.00,6761749383.00,82334.99,5244595133.00,9219031112.00,104582.80,26636.51,37459.34,48064.81,2029694479.00,1598583719.00,1945510595.00,67273.01,151982.00
Glutathione_[2M+H]+_615.1716_37.51858,3628392875.00,13717.05,9657033793.00,8000949551.00,2499115538.00,1039954327.00,6523101539.00,2060707335.00,9249323472.00,1387706126.00,7294316521.00,3202730904.00,5439719329.00,2176045142.00,1208341511.00,14619.35,9604488278.00,1625638115.00,24445.36,1382274487.00,27659.89,3606372048.00,48381.99,8537516817.00,1442553184.00,2176495183.00,1523329594.00,2806381671.00,1495028084.00,1954248519.00,1092855304.00,2042999853.00,1375681318.00,21000.02,3786244164.00,6729794227.00,1165262829.00,2020437968.00,2094596969.00,1869924957.00,4798387713.00,1594807478.00,2515797119.00,1713043583.00,3731356379.00,1517943044.00,6710929081.00,1642333588.00,6294129049.00,18200877.00,9724066629.00,1530719677.00,2024276207.00,6789394686.00,353414.60,1712526856.00,426650.10,286426.30,24059.35,367045.50,293726.40,1813478066.00,8594617503.00,306643.10,213742.80,193827.80,290536.50,1682888611.00,1028636033.00,299849.00,25260.57,23998.48
unknown_353.1355_8.078859,19295.56,505439212.00,3464827757.00,22695.38,22596.66,1709148459.00,1350243719.00,375976.40,487116933.00,1814731906.00,245344.80,1251441185.00,3448902986.00,19803.94,6960241301.00,21707.24,2139563914.00,2113927443.00,2021706292.00,22298.65,25177.50,28039.80,23526.26,21865.80,2005475747.00,167454483.00,9327793587.00,2959528309.00,1564374997.00,21832.38,25727.55,21945.53,7071242888.00,4554831845.00,25649.92,1785627385.00,21668.71,20855.22,23332.71,494500.80,24370.51,1094286775.00,22570.43,21693.63,2119638252.00,1245880167.00,1642530047.00,20752.18,2137382855.00,1716177086.00,30295.58,21305.38,1280627517.00,1358983489.00,4237614726.00,23299.88,1579658759.00,24452.28,137374.10,22029.73,192910166.00,22594.74,1170354895.00,20275.50,165508524.00,21856.74,8457331114.00,6402400998.00,2056615778.00,23484.56,1360205324.00,1444312161.00
unknown_619.1624_23.27734,1776997997.00,381913335.00,26471.94,3934716949.00,3049179156.00,183051144.00,2157636288.00,1777833256.00,2811183381.00,4308342545.00,1021127266.00,1024567666.00,2139724332.00,1589348333.00,1593681926.00,5883112881.00,1281869305.00,1963335611.00,139060.40,26284.81,137272.10,92547.94,23030.29,27226.26,48621.58,1270391823.00,8504815813.00,1947454472.00,1278258068.00,27250.94,93122.26,36711.61,1733573958.00,53001.31,213030277.00,1780034112.00,4901266614.00,2351869576.00,1455583976.00,1146951224.00,25900.63,1901408804.00,1662740895.00,1460723205.00,1814592152.00,7619378889.00,233140173.00,9092827315.00,1521967469.00,23729.54,24054.58,177280279.00,347802818.00,6239688938.00,159339.20,7128125217.00,141964.20,208060.40,11291662.00,199492.60,56110.60,100960455.00,1995943325.00,138651.40,49332.86,1891768435.00,104401.10,27766.85,22627.02,152362.70,3221800263.00,978381857.00
Adrenaline_[M+H]+_184.0964_25.01614,6962599397.00,22633.32,25367.22,281033.90,397747.10,2242187366.00,27403.33,171849.50,6911133051.00,144736.10,1596925606.00,25535.99,2093290635.00,6977027369.00,303504.00,1522583805.00,1901024521.00,3213143366.00,72037.69,90957.60,43552.39,41536.91,48655.51,1270042475.00,1078860812.00,52613.31,58279.32,1348938837.00,1406532234.00,24936.39,24920.30,39092.57,1903020157.00,1163174038.00,1215421012.00,1747483831.00,1884616333.00,24645.54,4813995947.00,1863311005.00,5566206063.00,26143.44,1428564551.00,21633.15,59647.34,6410079691.00,1773174451.00,1351687419.00,192527624.00,7930381978.00,1861920327.00,7799533993.00,1123911996.00,1788805654.00,32325.37,5646312659.00,872826421.00,32506.91,34686.71,22600.08,28541.83,52025.34,51686.41,1350265524.00,1997746143.00,55193.31,24887.42,1403661868.00,2212494876.00,1010243252.00,7696717816.00,1370539048.00
unknown_289.0656_6.755086,25048.05,2955000.00,220157787.00,1614739447.00,1518301975.00,3984887709.00,9675688355.00,1291764196.00,1624463344.00,24359.59,3307703.00,81887.26,1295673.00,6520569211.00,4071323425.00,3329171.00,6182483083.00,920671.40,415751.40,1570838725.00,185324.40,2004457468.00,108252.00,215005.00,54741.68,6688518944.00,125678.00,23651.55,24674.71,520284.50,3576635318.00,24200.73,223260.00,56341.03,5624700227.00,191726.60,20482.75,1666945373.00,1955643.00,2023829362.00,35073.12,119440.10,1329324433.00,42236.19,15894535.00,2874603.00,1046585.00,2000726.00,2100969124.00,2953388206.00,1069314.00,11843.54,1873970.00,1781214232.00,6482238677.00,1924718.00,1378794556.00,61297559.00,1301257.00,1694279833.00,26790.67,5592387748.00,114292.80,52119.17,5783981895.00,70627.88,1381870901.00,57145.22,97199.52,1017188457.00,85263.41,141007.00
unknown_439.1687_50.57361,22035.06,5093376247.00,13145.07,54551.81,132277.10,8045863771.00,25045.44,9844612759.00,1751465671.00,1876444128.00,23506.30,28386.29,52222.33,1902445796.00,2080377099.00,94433.38,28112.65,6584229602.00,2032582305.00,632292.40,440427.90,23106.34,130699309.00,1986350053.00,315294647.00,5729767416.00,4771351258.00,5935412459.00,1963760664.00,1571016548.00,44913.97,1485450361.00,3233400766.00,1204173973.00,99876.60,31318.18,1483134055.00,49625.89,191579.80,1618851206.00,5070754254.00,72256.20,1115533743.00,24045.81,2170663448.00,1731394123.00,40159.81,34219.77,1521751023.00,28476.91,25658.82,5594749458.00,27048.86,2134512797.00,38215.26,132084.70,199602.70,2204074791.00,160828.40,8048301919.00,49644.85,2137534465.00,9081382407.00,66325.00,27738.74,1203975756.00,70722.62,98692.37,195468.30,43145.61,274828.80,209385.30
2-Hydroxypseudobaptigenin_[M]+_298.0471_38.77246,25909.64,9747586027.00,3739943489.00,1059297542.00,1107825378.00,1268614882.00,1554321147.00,5763414378.00,155216316.00,2180856509.00,1978618384.00,1715244734.00,1831653319.00,2039565878.00,1036932513.00,5227360602.00,1392281684.00,4025111436.00,1671652167.00,1549930651.00,2060020174.00,1153013054.00,142830.50,131349.40,1393527216.00,133158.80,216795.80,1934763141.00,1032822.00,817653.70,43402.69,2425093.00,1639561.00,24142.39,7373736.00,6760674.00,1826106883.00,163177351.00,5456004642.00,856850131.00,1572783217.00,2230612027.00,1270417573.00,853479163.00,2233711364.00,22826.85,1751145455.00,1434300096.00,205248885.00,3538843726.00,8052008281.00,7718522687.00,1270149595.00,994087118.00,284994576.00,447613123.00,1497522273.00,1206607914.00,2001099021.00,2794291935.00,1531972179.00,3191417784.00,178217.20,1896814837.00,581156.70,598096.90,1258517141.00,2796145.00,3141475.00,39357.89,1659990.00,1086453.00
unknown_233.114_3.818988,1182450715.00,6960076799.00,19108.92,341672604.00,4244260014.00,30651.56,23910.00,38298.77,17536.03,44087.41,82526.29,1898758591.00,1629289982.00,1430208414.00,126422.90,1021128975.00,1316301.00,115991.50,5828244195.00,25111.78,48170.24,59332.03,68299.47,1885872281.00,138443.00,74087.60,54315.38,1300042813.00,231802.40,186586.70,1491871937.00,133939.90,67760.68,67362.71,1294399907.00,785488297.00,1776087577.00,1605145235.00,99147.65,38658.30,1687213542.00,982728904.00,9541885327.00,6712108739.00,22770.25,2014788246.00,1191096624.00,285172757.00,5742785636.00,1390373104.00,24524.85,7352270244.00,128485.40,1022152392.00,2991976232.00,154390981.00,8322842232.00,8363550645.00,60350.75,1380779955.00,203689.10,1146722694.00,106858.60,175908.00,90260.31,123012.90,1858156167.00,1035452977.00,2086444126.00,31885.90,26569.70,164991852.00
(-)-Jasmonic acid_[2M+H]+_421.2547_16.60869,23080.85,20275.90,20592.62,7631745458.00,1107442377.00,23709.63,16960432.00,1682277783.00,26336.82,1457219366.00,1612720653.00,2051140967.00,3933314487.00,571322347.00,2087898522.00,25091.17,20729.51,2072334252.00,1542879155.00,28370.49,36270.24,1218221361.00,21598.11,2010819992.00,5170137103.00,27329.29,8567207404.00,1024101182.00,36958.88,2209352276.00,4009200517.00,8707142486.00,8288623004.00,21893.56,122656.50,221987.60,1049496704.00,2985176872.00,24805.54,6667329962.00,1224406623.00,21083.79,25023.24,21886.92,23594.89,189405307.00,566807713.00,1110096118.00,1981332345.00,22172.37,1705621234.00,2074999386.00,4212074531.00,1341929496.00,2870612567.00,23807.70,7460184904.00,23428.93,8629636782.00,795379143.00,1418847156.00,21896.09,1352157574.00,21526.04,3077602715.00,2036184773.00,2142593307.00,622564.60,774613.60,6495914245.00,549246.90,605433.20
unknown_333.0368_60.41942,3705944727.00,22848.63,2376304996.00,1358869978.00,3302336901.00,1167578808.00,967920824.00,5115864541.00,2192990263.00,5173324107.00,4164107661.00,220807602.00,8062331213.00,198365966.00,2047124336.00,860364978.00,2155501519.00,1525353869.00,2949356516.00,304279946.00,1114650969.00,1356751308.00,27244.28,50741.61,35056.00,39081.62,6637361338.00,36713.94,96786.59,144409.90,2677414175.00,71295.00,156878.80,37915.52,570418.50,495395.20,692478879.00,9973329692.00,7599600878.00,1547518714.00,1238270265.00,1213938239.00,1705652439.00,7609707579.00,2209164505.00,8852688895.00,1587417972.00,6945916667.00,2058348251.00,1570185988.00,1245971096.00,1691508684.00,7253023782.00,1885139683.00,2092392202.00,1234751806.00,3187256695.00,1581129196.00,6533875148.00,8119765622.00,3161728481.00,2174421047.00,365593.30,1128943111.00,22788.01,125019.90,1689235882.00,530113.10,556816.70,41197.64,488363.80,453889.70
